imdbid,imdbtitle,releaseyear,rating,movieid
1226229,GET HIM TO THE GREEK,2010,6.3,1
8367814,THE GENTLEMEN,2019,7.8,2
1385826,THE ADJUSTMENT BUREAU,2011,7,3
1813757,WHO KILLED CAPTAIN ALEX?,2010,7.9,4
88930,CLUE,1985,7.2,5
1748122,MOONRISE KINGDOM,2012,7.8,6
9898858,COFFEE & KAREEM,2020,5.1,7
102685,POINT BREAK,1991,7.2,8
348333,WAITING...,2005,6.7,9
1645170,THE DICTATOR,2012,6.4,10
320661,KINGDOM OF HEAVEN,2005,7.2,11
96928,BILL & TED'S EXCELLENT ADVENTURE,1989,6.9,12
101452,BILL & TED'S BOGUS JOURNEY,1991,6.3,13
5164214,OCEAN'S EIGHT,2018,6.3,14
6521876,JAY AND SILENT BOB REBOOT,2019,5.6,15
240772,OCEAN'S ELEVEN,2001,7.7,16
463854,28 WEEKS LATER,2007,6.9,17
76729,SMOKEY AND THE BANDIT,1977,6.9,18
6254796,ARI SHAFFIR: DOUBLE NEGATIVE,2017,6.8,19
910936,PINEAPPLE EXPRESS,2008,6.9,20
278488,HOW HIGH,2001,6.2,21
120693,HALF BAKED,1998,6.6,22
456554,GRANDMA'S BOY,2006,6.9,23
365830,TENACIOUS D IN THE PICK OF DESTINY,2006,6.8,24
2788710,THE INTERVIEW,2014,6.5,25
443453,BORAT,2006,7.3,26
93058,FULL METAL JACKET,1987,8.3,27
120663,EYES WIDE SHUT,1999,7.5,28
443706,ZODIAC,2007,7.7,29
10230994,BECKETT,2021,5.7,30
425112,HOT FUZZ,2007,7.8,31
11864802,UFC 249: KHABIB VS. FERGUSON,2020,8,32
7394674,BLOOD QUANTUM,2019,5.6,33
118715,THE BIG LEBOWSKI,1998,8.1,34
47478,SEVEN SAMURAI,1954,8.6,35
317248,CITY OF GOD,2002,8.6,36
3152592,SCOOB!,2020,5.6,37
5231642,UFC 171: HENDRICKS VS. LAWLER,2014,7.4,38
6199572,CAPONE,2020,4.7,39
476031,UFC: ULTIMATE FIGHT NIGHT,2005,7.5,40
9684220,BAD TRIP,2021,6.5,41
838221,THE DARJEELING LIMITED,2007,7.2,42
349903,OCEAN'S TWELVE,2004,6.5,43
27977,MODERN TIMES,1936,8.5,44
46438,TOKYO STORY,1953,8.2,45
12466128,DOUG STANHOPE: THE DYING OF A LAST BREED,2020,7.2,46
21836654,SAM MORRIL: SAME TIME TOMORROW,2022,7.3,47
88847,THE BREAKFAST CLUB,1985,7.8,48
16280138,MAGIC MIKE'S LAST DANCE,2023,5.7,49
8851668,THE LOVEBIRDS,2020,6.1,50
109424,CHUNGKING EXPRESS,1994,8,51
166924,MULHOLLAND DRIVE,2001,7.9,52
50976,THE SEVENTH SEAL,1957,8.1,53
5580036,"I, TONYA",2017,7.5,54
14318270,LOUIS THEROUX: SHOOTING JOE EXOTIC,2021,6.7,55
254686,THE PIANO TEACHER,2001,7.5,56
1856101,BLADE RUNNER 2049,2017,8,57
8488746,FISTS OF FURY,2016,4.2,58
1295072,THE TROTSKY,2009,6.7,59
1355640,THE SHOCK DOCTRINE,2009,7.6,60
9777644,DA 5 BLOODS,2020,6.5,61
318462,THE MOTORCYCLE DIARIES,2004,7.7,62
2380564,SWEARNET: THE MOVIE,2014,6,63
3244992,TRAILER PARK BOYS: DON'T LEGALIZE IT,2014,7.3,64
137523,FIGHT CLUB,1999,8.8,65
496806,OCEAN'S THIRTEEN,2007,6.9,66
97216,DO THE RIGHT THING,1989,8,67
8580274,EUROVISION SONG CONTEST: THE STORY OF FIRE SAGA,2020,6.5,68
8079248,YESTERDAY,2019,6.8,69
59749,THE SPY WHO CAME IN FROM THE COLD,1965,7.6,70
181865,TRAFFIC,2000,7.6,71
67328,THE LAST PICTURE SHOW,1971,8,72
3104988,CRAZY RICH ASIANS,2018,6.9,73
9686708,THE KING OF STATEN ISLAND,2020,7.1,74
1053424,REPO MEN,2010,6.3,75
7556122,THE OLD GUARD,2020,6.6,76
6146586,JOHN WICK: CHAPTER 3 - PARABELLUM,2019,7.4,77
78446,UP IN SMOKE,1978,6.9,78
9484998,PALM SPRINGS,2020,7.4,79
55630,YOJIMBO,1961,8.2,80
86541,VIDEODROME,1983,7.2,81
31971,STAGECOACH,1939,7.8,82
58461,A FISTFUL OF DOLLARS,1964,7.9,83
7984734,THE LIGHTHOUSE,2019,7.4,84
72417,A WOMAN UNDER THE INFLUENCE,1974,8.1,85
167261,THE LORD OF THE RINGS: THE TWO TOWERS,2002,8.8,86
167260,THE LORD OF THE RINGS: THE RETURN OF THE KING,2003,9,87
12724622,ANELKA: MISUNDERSTOOD,2020,6.4,88
6017756,RADIOACTIVE,2019,6.2,89
19887218,JOE LIST: THIS YEAR'S MATERIAL,2022,7.4,90
7550000,PROJECT POWER,2020,6,91
12179904,MAGNUM DOPUS: THE MAKING OF JAY AND SILENT BOB REBOOT,2020,6.7,92
11615290,BEASTIE BOYS STORY,2020,7.7,93
76759,STAR WARS: EPISODE IV - A NEW HOPE,1977,8.6,94
1499658,HORRIBLE BOSSES,2011,6.9,95
6902676,GUNS AKIMBO,2019,6.3,96
6453158,SCOTCH: A GOLDEN DREAM,2018,7.5,97
1086064,BILL & TED FACE THE MUSIC,2020,5.9,98
14028710,INSIDE THE NHL BUBBLE,2020,,99
61722,THE GRADUATE,1967,8,100
1853728,DJANGO UNCHAINED,2012,8.4,101
107290,JURASSIC PARK,1993,8.2,102
120338,TITANIC,1997,7.9,103
993846,THE WOLF OF WALL STREET,2013,8.2,104
372784,BATMAN BEGINS,2005,8.2,105
1345836,THE DARK KNIGHT RISES,2012,8.4,106
468569,THE DARK KNIGHT,2008,9,107
69762,BADLANDS,1973,7.7,108
7846844,ENOLA HOLMES,2020,6.6,109
26340263,DR JASON LEONG: RIDE WITH CAUTION,2023,6,110
118884,CONTACT,1997,7.5,111
206634,CHILDREN OF MEN,2006,7.9,112
43278,AN AMERICAN IN PARIS,1951,7.2,113
109370,CANADIAN BACON,1995,5.9,114
1568346,THE GIRL WITH THE DRAGON TATTOO,2011,7.8,115
8264546,1991,2018,7.1,116
104694,A LEAGUE OF THEIR OWN,1992,7.3,117
4616250,THE PERFECT WEAPON,2016,2.9,118
250494,LEGALLY BLONDE,2001,6.4,119
2316411,ENEMY,2013,6.9,120
8488126,THE INVENTOR: OUT FOR BLOOD IN SILICON VALLEY,2019,7.2,121
3397884,SICARIO,2015,7.6,122
815241,RELIGULOUS,2008,7.6,123
1255953,INCENDIES,2010,8.3,124
6723592,TENET,2020,7.3,125
2543164,ARRIVAL,2016,7.9,126
1194238,POLYTECHNIQUE,2009,7.2,127
116913,LOOKING FOR RICHARD,1996,7.3,128
95016,DIE HARD,1988,8.2,129
10618286,MANK,2020,6.8,130
120591,ARMAGEDDON,1998,6.7,131
366551,HAROLD & KUMAR GO TO WHITE CASTLE,2004,7,132
1631867,EDGE OF TOMORROW,2014,7.9,133
78788,APOCALYPSE NOW,1979,8.5,134
462538,THE SIMPSONS MOVIE,2007,7.3,135
1130884,SHUTTER ISLAND,2010,8.2,136
78748,ALIEN,1979,8.5,137
1136608,DISTRICT 9,2009,7.9,138
7131622,ONCE UPON A TIME IN HOLLYWOOD,2019,7.6,139
133093,THE MATRIX,1999,8.7,140
1790885,ZERO DARK THIRTY,2012,7.4,141
434409,V FOR VENDETTA,2005,8.2,142
838283,STEP BROTHERS,2008,6.9,143
283111,NATIONAL LAMPOON'S VAN WILDER,2002,6.4,144
4209788,MOLLY'S GAME,2017,7.4,145
6921996,JOHNNY ENGLISH STRIKES AGAIN,2018,6.2,146
381061,CASINO ROYALE,2006,8,147
113277,HEAT,1995,8.3,148
10633456,MINARI,2020,7.4,149
1037705,THE BOOK OF ELI,2010,6.8,150
13935770,CHRIS ROCK TOTAL BLACKOUT: THE TAMBORINE EXTENDED CUT,2021,7,151
11382384,THE DISSIDENT,2020,7.8,152
10612922,ONE NIGHT IN MIAMI...,2020,7.1,153
89085,ELVIS GRATTON: LE KING DES KINGS,1985,7.1,154
9620292,PROMISING YOUNG WOMAN,2020,7.5,155
6878306,NEWS OF THE WORLD,2020,6.8,156
9770150,NOMADLAND,2020,7.3,157
5363618,SOUND OF METAL,2019,7.7,158
1155056,"I LOVE YOU, MAN",2009,7,159
830515,QUANTUM OF SOLACE,2008,6.6,160
9606374,ON THE ROCKS,2020,6.4,161
6571548,THE WHITE TIGER,2021,7.1,162
13061914,LOCKED DOWN,2021,5.2,163
98635,WHEN HARRY MET SALLY...,1989,7.7,164
94898,COMING TO AMERICA,1988,7.1,165
107048,GROUNDHOG DAY,1993,8.1,166
266697,KILL BILL: VOL. 1,2003,8.2,167
378194,KILL BILL: VOL. 2,2004,8,168
816692,INTERSTELLAR,2014,8.6,169
1375666,INCEPTION,2010,8.8,170
112641,CASINO,1995,8.2,171
480249,I AM LEGEND,2007,7.2,172
82971,INDIANA JONES AND THE RAIDERS OF THE LOST ARK,1981,8.4,173
1195478,THE FIVE-YEAR ENGAGEMENT,2012,6.2,174
5052448,GET OUT,2017,7.7,175
12575636,THE NEW CORPORATION: THE UNFORTUNATELY NECESSARY SEQUEL,2020,7,176
2379713,SPECTRE,2015,6.8,177
325980,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,2003,8.1,178
383574,PIRATES OF THE CARIBBEAN: DEAD MAN'S CHEST,2006,7.3,179
1361336,TOM & JERRY,2021,5.2,180
9784798,JUDAS AND THE BLACK MESSIAH,2021,7.4,181
470752,EX MACHINA,2014,7.7,182
988045,SHERLOCK HOLMES,2009,7.6,183
1535108,ELYSIUM,2013,6.6,184
119116,THE FIFTH ELEMENT,1997,7.6,185
1298650,PIRATES OF THE CARIBBEAN: ON STRANGER TIDES,2011,6.6,186
6802400,COMING 2 AMERICA,2021,5.3,187
10151854,SHAZAM! FURY OF THE GODS,2023,,188
765429,AMERICAN GANGSTER,2007,7.8,189
5109280,RAYA AND THE LAST DRAGON,2021,7.3,190
2004420,NEIGHBORS,2014,6.3,191
478311,KNOCKED UP,2007,6.9,192
1798709,HER,2013,8,193
765443,EASTERN PROMISES,2007,7.6,194
151804,OFFICE SPACE,1999,7.6,195
1022603,500 DAYS OF SUMMER,2009,7.7,196
70034,ENTER THE DRAGON,1973,7.6,197
8704802,THE LAST BLOCKBUSTER,2020,6.7,198
14111708,LOYISO GOLA: UNLEARNING,2021,5.9,199
117060,MISSION: IMPOSSIBLE,1996,7.1,200
371746,IRON MAN,2008,7.9,201
1723121,WE'RE THE MILLERS,2013,7,202
10272386,THE FATHER,2020,8.2,203
1229238,MISSION: IMPOSSIBLE - GHOST PROTOCOL,2011,7.4,204
2381249,MISSION: IMPOSSIBLE - ROGUE NATION,2015,7.4,205
4912910,MISSION: IMPOSSIBLE - FALLOUT,2018,7.7,206
134847,PITCH BLACK,2000,7.1,207
296572,THE CHRONICLES OF RIDDICK,2004,6.6,208
1411250,RIDDICK,2013,6.4,209
7888964,NOBODY,2021,7.4,210
316654,SPIDER-MAN 2,2004,7.4,211
413300,SPIDER-MAN 3,2007,6.3,212
272338,PUNCH-DRUNK LOVE,2002,7.3,213
18351128,THE AMAZING SPIDERMAN 2 WEBB CUT,2021,8,214
73195,JAWS,1975,8.1,215
175880,MAGNOLIA,1999,8,216
87469,INDIANA JONES AND THE TEMPLE OF DOOM,1984,7.5,217
108399,TRUE ROMANCE,1993,7.9,218
2334649,FRUITVALE STATION,2013,7.5,219
113497,JUMANJI,1995,7,220
387564,SAW,2004,7.6,221
1228705,IRON MAN 2,2010,6.9,222
1300854,IRON MAN 3,2013,7.1,223
993840,ARMY OF THE DEAD,2021,5.7,224
90305,WEIRD SCIENCE,1985,6.6,225
190332,"CROUCHING TIGER, HIDDEN DRAGON",2000,7.9,226
369339,COLLATERAL,2004,7.5,227
9893250,I CARE A LOT,2020,6.3,228
120601,BEING JOHN MALKOVICH,1999,7.8,229
120815,SAVING PRIVATE RYAN,1998,8.6,230
7014006,EIGHTH GRADE,2018,7.4,231
117705,SPACE JAM,1996,6.5,232
387808,IDIOCRACY,2006,6.5,233
8143990,KAJILLIONAIRE,2020,6.4,234
7312396,CITIES HELD HOSTAGE: MAIN BASSE SUR LA VILLE,2017,8.4,235
7937254,SILK ROAD,2021,6,236
300094,KUNG FU GHANDI,1986,5.6,237
108550,WHAT'S EATING GILBERT GRAPE,1993,7.7,238
6107548,LATE NIGHT,2019,6.5,239
12801262,LUCA,2021,7.4,240
88763,BACK TO THE FUTURE,1985,8.5,241
8231668,GOOD ON PAPER,2021,5.6,242
2139881,LONG SHOT,2019,6.8,243
119177,GATTACA,1997,7.8,244
83944,FIRST BLOOD,1982,7.7,245
11525644,NO SUDDEN MOVE,2021,6.4,246
10016180,THE LITTLE THINGS,2021,6.3,247
1606389,THE VOW,2012,6.8,248
1478338,BRIDESMAIDS,2011,6.8,249
120735,"LOCK, STOCK AND TWO SMOKING BARRELS",1998,8.2,250
76666,SATURDAY NIGHT FEVER,1977,6.8,251
1024648,ARGO,2012,7.7,252
113749,MALLRATS,1995,7,253
9850386,THE BEE GEES: HOW CAN YOU MEND A BROKEN HEART,2020,8.1,254
3554046,SPACE JAM: A NEW LEGACY,2021,4.5,255
462499,RAMBO,2008,7,256
74958,NETWORK,1976,8.1,257
1206885,RAMBO: LAST BLOOD,2019,6.1,258
112384,APOLLO 13,1995,7.7,259
1392190,MAD MAX: FURY ROAD,2015,8.1,260
34583,CASABLANCA,1942,8.5,261
870154,JUNGLE CRUISE,2021,6.6,262
4076164,IN THE ROOM,2015,4.6,263
5439796,LOGAN LUCKY,2017,7,264
338751,THE AVIATOR,2004,7.5,265
1160419,DUNE,2021,8,266
90605,ALIENS,1986,8.4,267
61735,GUESS WHO'S COMING TO DINNER,1967,7.8,268
6334354,THE SUICIDE SQUAD,2021,7.2,269
98554,UNCLE BUCK,1989,7.1,270
106611,COOL RUNNINGS,1993,7,271
103644,ALIENÂ³,1992,6.4,272
10696896,STILLWATER,2021,6.6,273
9243804,THE GREEN KNIGHT,2021,6.6,274
58385,MY FAIR LADY,1964,7.8,275
3272066,REMINISCENCE,2021,5.9,276
79470,LIFE OF BRIAN,1979,8,277
945513,SOURCE CODE,2011,7.5,278
1454468,GRAVITY,2013,7.7,279
359203,"EASY RIDERS, RAGING BULLS: HOW THE SEX, DRUGS AND ROCK ''N'' ROLL GENERATION SAVED HOLLYWOOD",2003,7.5,280
936501,TAKEN,2008,7.8,281
3626476,VACATION FRIENDS,2021,6.3,282
1397280,TAKEN 2,2012,6.2,283
2446042,TAKEN 3,2014,6,284
116695,JERRY MAGUIRE,1996,7.3,285
2798920,ANNIHILATION,2018,6.8,286
9000224,THE ASSISTANT,2019,6.4,287
247425,IN THE BEDROOM,2001,7.4,288
8110232,THE MANY SAINTS OF NEWARK,2021,6.3,289
109445,CLERKS,1994,7.7,290
1175709,ALL GOOD THINGS,2010,6.3,291
266308,BATTLE ROYALE,2000,7.6,292
8946378,KNIVES OUT,2019,7.9,293
2382320,NO TIME TO DIE,2021,7.3,294
7991608,RED NOTICE,2021,6.3,295
9639470,LAST NIGHT IN SOHO,2021,7,296
6751668,PARASITE,2019,8.5,297
298203,8 MILE,2002,7.2,298
314331,LOVE ACTUALLY,2003,7.6,299
10293406,THE POWER OF THE DOG,2021,6.8,300
12536294,SPENCER,2021,6.6,301
12789558,BELFAST,2021,7.3,302
14550344,UNTIL THE WHEELS COME OFF,2022,7.2,303
14079374,14 PEAKS: NOTHING IS IMPOSSIBLE,2021,7.7,304
479884,CRANK,2006,6.9,305
38650,IT'S A WONDERFUL LIFE,1946,8.6,306
11286314,DON'T LOOK UP,2021,7.2,307
234215,THE MATRIX RELOADED,2003,7.2,308
242653,THE MATRIX REVOLUTIONS,2003,6.7,309
10838180,THE MATRIX RESURRECTIONS,2021,5.7,310
295297,HARRY POTTER AND THE CHAMBER OF SECRETS,2002,7.4,311
8847712,THE FRENCH DISPATCH,2021,7.1,312
304141,HARRY POTTER AND THE PRISONER OF AZKABAN,2004,7.9,313
330373,HARRY POTTER AND THE GOBLET OF FIRE,2005,7.7,314
373889,HARRY POTTER AND THE ORDER OF THE PHOENIX,2007,7.5,315
417741,HARRY POTTER AND THE HALF-BLOOD PRINCE,2009,7.6,316
421715,THE CURIOUS CASE OF BENJAMIN BUTTON,2008,7.8,317
4244994,THE LAST DUEL,2021,7.4,318
56172,LAWRENCE OF ARABIA,1962,8.3,319
9100054,THE LOST DAUGHTER,2021,6.7,320
4995540,BEING THE RICARDOS,2021,6.5,321
8721424,"TICK, TICK... BOOM!",2021,7.5,322
10366460,CODA,2021,8,323
126029,SHREK,2001,7.9,324
415306,TALLADEGA NIGHTS: THE BALLAD OF RICKY BOBBY,2006,6.6,325
298148,SHREK 2,2004,7.3,326
357413,ANCHORMAN: THE LEGEND OF RON BURGUNDY,2004,7.1,327
1229340,ANCHORMAN 2: THE LEGEND CONTINUES,2013,6.3,328
9224288,MAINSTREAM,2020,5,329
1790886,THE CAMPAIGN,2012,6.1,330
373469,KISS KISS BANG BANG,2005,7.5,331
7475578,MUNICH: THE EDGE OF WAR,2021,6.8,332
16433744,BEANIE MANIA,2021,6.5,333
6264654,FREE GUY,2021,7.1,334
14992922,THE TINDER SWINDLER,2022,7.1,335
1242460,WE NEED TO TALK ABOUT KEVIN,2011,7.5,336
1560747,THE MASTER,2012,7.1,337
11271038,LICORICE PIZZA,2021,7.2,338
9620288,KING RICHARD,2021,7.5,339
71455,EARTHQUAKE,1974,5.9,340
10095582,THE TRAGEDY OF MACBETH,2021,7.1,341
55614,WEST SIDE STORY,1961,7.6,342
14039582,DRIVE MY CAR,2021,7.6,343
7740496,NIGHTMARE ALLEY,2021,7,344
7979580,THE MITCHELLS VS THE MACHINES,2021,7.6,345
8430054,FLEE,2021,7.9,346
5688932,SORRY TO BOTHER YOU,2018,6.9,347
12889404,CYRANO,2021,6.4,348
399146,A HISTORY OF VIOLENCE,2005,7.4,349
9398640,BETWEEN TWO FERNS: THE MOVIE,2019,6.1,350
2250912,SPIDER-MAN: HOMECOMING,2017,7.4,351
2267998,GONE GIRL,2014,8.1,352
13610562,THE BUBBLE,2022,4.7,353
4257858,GOING CLEAR: SCIENTOLOGY & THE PRISON OF BELIEF,2015,8,354
257044,ROAD TO PERDITION,2002,7.7,355
91763,PLATOON,1986,8.1,356
93105,"GOOD MORNING, VIETNAM",1987,7.3,357
12262116,THIRTEEN LIVES,2022,7.8,358
3704428,ELVIS,2022,7.3,359
105695,UNFORGIVEN,1992,8.2,360
102015,HEARTS OF DARKNESS: A FILMMAKER'S APOCALYPSE,1991,8.1,361
401445,A GOOD YEAR,2006,6.9,362
163651,AMERICAN PIE,1999,7,363
252866,AMERICAN PIE 2,2001,6.4,364
328828,AMERICAN WEDDING,2003,6.3,365
120689,THE GREEN MILE,1999,8.6,366
71315,CHINATOWN,1974,8.2,367
112573,BRAVEHEART,1995,8.4,368
11128440,CLERKS III,2022,6.3,369
104257,A FEW GOOD MEN,1992,7.7,370
14641788,ENOLA HOLMES 2,2022,6.7,371
264464,CATCH ME IF YOU CAN,2002,8.1,372
23848684,VIR DAS: LANDING,2022,7.3,373
6160448,WHITE NOISE,2022,5.7,374
1570728,"CRAZY, STUPID, LOVE.",2011,7.4,375
7322224,TRIANGLE OF SADNESS,2022,7.4,376
8633464,AFTER YANG,2021,6.7,377
19770238,AFTERSUN,2022,7.7,378
10954984,NOPE,2022,6.9,379
8178634,RRR,2022,7.9,380
2305051,WILD,2014,7.1,381
12477480,DECISION TO LEAVE,2022,7.3,382
11138512,THE NORTHMAN,2022,7.1,383
24509990,THE HATCHET WIELDING HITCHHIKER,2023,6.2,384
6074600,THE HITCHHICKER,2016,,385
1074638,SKYFALL,2012,7.8,386
9764362,THE MENU,2022,7.2,387
2368619,THE TAKE,2016,6.3,388
68646,THE GODFATHER,1972,9.2,389
14826022,YOU PEOPLE,2023,5.5,390
71562,THE GODFATHER PART II,1974,9,391
